invoice_line_no,date,itemno,pack,sale_bottles,sale_dollars,state_bottle_retail,vendor_no
S03386600030,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03395200073,2012-01-03T00:00:00.000,19068,6,3,82.65,27.55,65
S03387800007,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03388000007,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03389000028,2012-01-03T00:00:00.000,19068,6,1,27.55,27.55,65
S03391300031,2012-01-03T00:00:00.000,19068,6,1,27.55,27.55,65
S03393900047,2012-01-03T00:00:00.000,19068,6,1,27.55,27.55,65
S03394100022,2012-01-03T00:00:00.000,19068,6,24,661.2,27.55,65
S03402600072,2012-01-03T00:00:00.000,19068,6,2,55.1,27.55,65
S03400300004,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03396600117,2012-01-03T00:00:00.000,19068,6,2,55.1,27.55,65
S03396400067,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03381400010,2012-01-03T00:00:00.000,19068,6,30,826.5,27.55,65
S03395800135,2012-01-03T00:00:00.000,19068,6,90,2479.5,27.55,65
S03382600007,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03383200006,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03384000001,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03385800049,2012-01-03T00:00:00.000,19068,6,2,55.1,27.55,65
S03386500009,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03410700023,2012-01-03T00:00:00.000,19068,6,12,330.6,27.55,65
S03406400029,2012-01-03T00:00:00.000,19068,6,1,27.55,27.55,65
S03404400004,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03403500011,2012-01-03T00:00:00.000,19068,6,6,165.3,27.55,65
S03401000049,2012-01-03T00:00:00.000,19068,6,1,27.55,27.55,65
S03419000053,2012-01-04T00:00:00.000,19068,6,18,495.9,27.55,65
S03434700051,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03435000037,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03438000033,2012-01-04T00:00:00.000,19068,6,2,55.1,27.55,65
S03436200069,2012-01-04T00:00:00.000,19068,6,1,27.55,27.55,65
S03436100023,2012-01-04T00:00:00.000,19068,6,1,27.55,27.55,65
S03421700011,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03419900012,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03401500003,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03412400031,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03413000004,2012-01-04T00:00:00.000,19068,6,6,165.3,27.55,65
S03416400021,2012-01-04T00:00:00.000,19068,6,1,27.55,27.55,65
